Step,Loss,Duration
10,tensor(2.3021),1.1715376377105713
20,tensor(2.3018),0.3455963134765625
30,tensor(2.3013),0.3459246158599853
40,tensor(2.2976),0.3378608226776123
50,tensor(2.2960),0.3320126533508301
60,tensor(2.2925),0.3520052433013916
70,tensor(2.2942),0.3297173976898193
80,tensor(2.2889),0.3359770774841308
90,tensor(2.2884),0.3457756042480469
100,tensor(2.2871),0.3380231857299804
110,tensor(2.2814),0.3125524520874023
120,tensor(2.2929),0.3378932476043701
130,tensor(2.2769),0.3305144309997558
140,tensor(2.2864),0.3420443534851074
150,tensor(2.2762),0.3508741855621338
160,tensor(2.2653),0.3476119041442871
170,tensor(2.2711),0.3271260261535644
180,tensor(2.2670),0.3325648307800293
190,tensor(2.2739),0.3455159664154053
200,tensor(2.2768),0.3350396156311035
210,tensor(2.2584),0.3379135131835937
220,tensor(2.2526),0.3335878849029541
230,tensor(2.2630),0.345064640045166
240,tensor(2.2675),0.3429334163665771
250,tensor(2.2571),0.3548712730407715
260,tensor(2.2724),0.3461911678314209
270,tensor(2.2760),0.3455431461334228
280,tensor(2.2647),0.3412494659423828
290,tensor(2.2603),0.3454687595367431
300,tensor(2.2280),0.3452353477478027
310,tensor(2.2725),0.3419315814971924
320,tensor(2.2366),0.3515021800994873
330,tensor(2.2214),0.3402867317199707
340,tensor(2.2223),0.342104434967041
350,tensor(2.1944),0.3192100524902344
360,tensor(2.2118),0.3498570919036865
370,tensor(2.1940),0.3431041240692138
380,tensor(2.1737),0.3407270908355713
390,tensor(2.1893),0.3254342079162597
400,tensor(2.1965),0.6759469509124756
410,tensor(2.1343),0.3540205955505371
420,tensor(2.1914),0.3587472438812256
430,tensor(2.1196),0.3396971225738525
440,tensor(2.1415),0.3441197872161865
450,tensor(2.1012),0.3522639274597168
460,tensor(2.1214),0.3418986797332763
470,tensor(2.1471),0.3455522060394287
480,tensor(2.1272),0.3512589931488037
490,tensor(2.1150),0.3426742553710937
500,tensor(2.0673),0.354356050491333
510,tensor(2.0944),0.3577377796173095
520,tensor(2.0987),0.3402547836303711
530,tensor(2.0788),0.353065013885498
540,tensor(2.0995),0.3521873950958252
550,tensor(2.1441),0.346855878829956
560,tensor(2.0849),0.3458287715911865
570,tensor(2.0932),0.3351049423217773
580,tensor(2.0812),0.3496584892272949
590,tensor(2.0494),0.3457374572753906
600,tensor(2.0632),0.3485538959503174
610,tensor(2.0794),0.3456602096557617
620,tensor(2.0445),0.3545184135437011
630,tensor(2.0254),0.3502988815307617
640,tensor(2.0362),0.3278357982635498
650,tensor(2.0387),0.3009798526763916
660,tensor(2.0195),0.3176736831665039
670,tensor(2.1004),0.3171329498291015
680,tensor(2.0192),0.341989517211914
690,tensor(2.0518),0.3474953174591064
700,tensor(1.9722),0.3487484455108642
710,tensor(2.0095),0.3331198692321777
720,tensor(1.9936),0.3475341796875
730,tensor(1.9577),0.3435611724853515
740,tensor(2.0853),0.3456559181213379
750,tensor(2.0460),0.3430533409118652
760,tensor(2.1017),0.3481209278106689
770,tensor(1.9717),0.3522481918334961
780,tensor(1.9721),0.3558919429779053
790,tensor(1.9875),0.7004132270812988
800,tensor(2.0406),0.3533697128295898
810,tensor(2.0477),0.3556609153747558
820,tensor(2.0537),0.3362734317779541
830,tensor(2.0206),0.3203549385070801
840,tensor(2.0107),0.3090584278106689
850,tensor(2.0130),0.3457529544830322
860,tensor(1.9699),0.347236156463623
870,tensor(1.9428),0.3506052494049072
880,tensor(2.0580),0.3421032428741455
890,tensor(1.9807),0.3593659400939941
900,tensor(2.0298),0.3491194248199463
910,tensor(1.9440),0.3507740497589111
920,tensor(1.9810),0.342142105102539
930,tensor(1.9511),0.3464818000793457
940,tensor(1.9510),0.3461685180664062
950,tensor(1.9953),0.3525326251983642
960,tensor(2.0135),0.3400707244873047
970,tensor(1.9286),0.3417279720306396
980,tensor(1.9065),0.3463666439056396
990,tensor(1.9351),0.3278851509094238
1000,tensor(2.0011),0.3460242748260498
1010,tensor(2.0154),0.3417778015136719
1020,tensor(1.9894),0.347877025604248
1030,tensor(1.9691),0.3333556652069092
1040,tensor(1.9031),0.3422620296478271
1050,tensor(1.8941),0.3371758460998535
1060,tensor(1.9833),0.3320503234863281
1070,tensor(1.9132),0.3582017421722412
1080,tensor(1.9840),0.3499464988708496
1090,tensor(1.9228),0.3449077606201172
1100,tensor(1.8884),0.3320837020874023
1110,tensor(1.9148),0.348360538482666
1120,tensor(1.9061),0.3511908054351806
1130,tensor(1.9628),0.3539884090423584
1140,tensor(1.8367),0.3521409034729004
1150,tensor(1.9762),0.3231892585754394
1160,tensor(1.9915),0.3465259075164795
1170,tensor(1.9052),0.3404967784881592
1180,tensor(1.9392),0.6934564113616943
1190,tensor(1.8826),0.3447604179382324
1200,tensor(1.9457),0.3535027503967285
1210,tensor(1.9992),0.3383481502532959
1220,tensor(1.8789),0.3471767902374267
1230,tensor(1.9634),0.3459467887878418
1240,tensor(1.9289),0.3404462337493896
1250,tensor(1.9024),0.3435921669006347
1260,tensor(1.9677),0.3431143760681152
1270,tensor(1.9098),0.3488719463348388
1280,tensor(1.8938),0.3564980030059814
1290,tensor(1.9441),0.3454422950744629
1300,tensor(1.9253),0.3427462577819824
1310,tensor(1.8772),0.3466761112213135
1320,tensor(1.9377),0.3296382427215576
1330,tensor(1.8858),0.3420169353485107
1340,tensor(1.9139),0.3492534160614013
1350,tensor(1.9810),0.3485116958618164
1360,tensor(1.9690),0.3478937149047851
1370,tensor(1.9028),0.3629093170166015
