Epoch,Loss,Duration
0,tensor(2.2644),0.1419525146484375
1,tensor(2.0723),0.1841950416564941
2,tensor(1.9691),0.2182526588439941
3,tensor(1.9038),0.2514369487762451
4,tensor(1.8650),0.2808692455291748
5,tensor(1.8412),0.3148386478424072
6,tensor(1.8216),0.3466577529907226
7,tensor(1.8049),0.4044175148010254
8,tensor(1.7914),0.4348337650299072
9,tensor(1.7748),0.123072862625122
10,tensor(1.7687),0.1518287658691406
11,tensor(1.7558),0.1912717819213867
12,tensor(1.7479),0.2121961116790771
13,tensor(1.7385),0.2563872337341308
14,tensor(1.7312),0.3003435134887695
15,tensor(1.7254),0.3247547149658203
16,tensor(1.7163),0.3606133460998535
17,tensor(1.7120),0.3917689323425293
18,tensor(1.7068),0.4437479972839355
19,tensor(1.7058),0.1321465969085693
20,tensor(1.7003),0.1597054004669189
21,tensor(1.6966),0.1903936862945556
22,tensor(1.6922),0.2373068332672119
23,tensor(1.6907),0.2569403648376465
24,tensor(1.6875),0.289888858795166
