Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.305958304566852,11.35802958456942,14.236039762533949,1e-05,1732032560.3689868
2,2.2930096569495526,14.385009951866904,18.38137568188331,1e-05,1732032605.7144065
3,2.2825575438564587,16.005927284552023,21.276963754375377,1e-05,1732032646.6977863
4,2.270615069565584,19.15474952713037,23.8148677071406,1e-05,1732032697.2069552
5,2.2546033955795663,21.734157535226693,26.099676641584143,1e-05,1732032747.886657
6,2.234935006458465,23.439334650604973,28.088231510843443,1e-05,1732032792.8716536
7,2.211885896134884,24.4749795001909,30.05124515985552,1e-05,1732032841.4998176
8,2.184879359531728,25.03269911398377,31.824047232640595,1e-05,1732032894.145931
9,2.157352348940954,26.39833566607983,33.59980915210132,1e-05,1732032946.639079
10,2.129458266232921,27.242599510590388,35.303140407066245,1e-05,1732032998.9530945
11,2.107204410331003,27.42250697272578,36.8523067385654,1e-05,1732033047.1272516
12,2.0829819814668715,27.53861544913196,38.42160295974889,1e-05,1732033095.6749508
13,2.0579378450319146,28.23584651137045,39.95788424107496,1e-05,1732033148.9179103
14,2.0404723855439304,28.28478785644971,41.42109940448244,1e-05,1732033203.1060464
15,2.01304279447226,28.913614322948938,42.84679255045528,1e-05,1732033257.6797817
16,1.9955424393349577,29.61968838476252,44.2852514734161,1e-05,1732033312.317041
17,1.971681979839488,30.532381213850297,45.64919776633981,1e-05,1732033368.844029
18,1.949876922924196,30.929300742990897,47.00919468158948,1e-05,1732033419.7736535
19,1.9273910749329828,31.188445153913158,48.30865361279795,1e-05,1732033481.0045345
20,1.9170721676167544,31.502115887244937,49.6780393001627,1e-05,1732033535.7809446
