Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.287873611827077,14.897186714827168,14.249441653067896,1e-05,1731519668.2557535
2,2.154826385877137,24.44763042176347,18.41521838779455,1e-05,1731519695.4616337
3,1.991548367512269,27.767399260043803,21.31838705303572,1e-05,1731519729.8211029
4,1.875931846669742,31.54568342108652,23.85718244824675,1e-05,1731519766.1958115
5,1.7960777747357757,33.578978859709395,26.083233307032,1e-05,1731519803.3868508
6,1.765312012369512,37.0321634634697,28.12384424714629,1e-05,1731519841.3021493
7,1.733167127991761,38.75252871857502,30.079931254279664,1e-05,1731519877.9652138
8,1.7020456443405825,39.93567776622024,31.86043870285992,1e-05,1731519914.8045993
9,1.6856313608911857,40.97089879246394,33.61721442748918,1e-05,1731519953.874387
10,1.650917912255906,42.60943968212947,35.30732724429511,1e-05,1731519993.7611122
11,1.6443703769639109,43.72771699237924,36.82795164194749,1e-05,1731520033.503124
12,1.6220574840693407,44.54893018207695,38.42946799243988,1e-05,1731520072.3491864
13,1.6091029207880905,45.55335983572111,39.92344048052042,1e-05,1731520113.9488895
14,1.6051122241411326,46.00959241352984,41.40615316817634,1e-05,1731520153.2702515
15,1.6022459864616394,46.41157178896517,42.879657760910405,1e-05,1731520192.3930073
16,1.584160466388953,47.1674971241122,44.278098532539,1e-05,1731520236.634905
17,1.5754771534870529,47.71594337257457,45.64217849919784,1e-05,1731520278.137644
18,1.551599602592033,49.01535540503913,46.99195852236261,1e-05,1731520318.322784
19,1.5516432162681362,49.39012223040642,48.36290420277157,1e-05,1731520358.1955924
20,1.550547996468106,49.63311513835477,49.64131983353287,1e-05,1731520402.2068806


Test set:Loss: 1.584340 Acc: 49.406646 
