Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.162918831215424,19.8601082809183,14.276086578387456,1e-05,1731491353.735016
2,1.832367302843444,34.45017656768009,18.31345800153585,1e-05,1731491379.0997314
3,1.7136143617462694,39.67152246868845,21.31149046914748,1e-05,1731491411.6712737
4,1.6219399590711578,44.18073934663938,23.766408590880005,1e-05,1731491449.855138
5,1.6298004421694523,46.12409072683933,26.02824981535627,1e-05,1731491487.4255586
6,1.5624260228430005,48.63327422791832,28.13909357492504,1e-05,1731491524.8928342
7,1.63841655254364,47.89530427766168,30.06559133832189,1e-05,1731491561.6653218
8,1.6228735114876374,48.83370878615485,31.85589166599959,1e-05,1731491600.9874775
9,1.6088106139093383,49.595692121832776,33.56497605136128,1e-05,1731491639.3631942
10,1.6376706251631612,49.77085583184273,35.2947660430484,1e-05,1731491677.228157
11,1.570341143043199,51.37080777300794,36.87664143866255,1e-05,1731491716.1146388
12,1.5627056783448203,52.14094627864909,38.39012913147933,1e-05,1731491755.6427114
13,1.5510555970833788,53.05186664374526,39.92726831507088,1e-05,1731491796.377929
14,1.553632574182161,53.70732426602589,41.40989223626667,1e-05,1731491835.0795932
15,1.587228309961013,53.50349171035883,42.854098343940336,1e-05,1731491875.991657
16,1.522366161326058,54.78418433264996,44.23517014246078,1e-05,1731491917.0906494
17,1.532241797195797,55.21759449238448,45.663232114967634,1e-05,1731491958.4578035
18,1.5422675436776545,55.42577053812728,47.00574754486888,1e-05,1731491999.2004907
19,1.5465356305685227,56.39129257796706,48.33917467662349,1e-05,1731492041.4159648
20,1.5039823062665074,56.81206940284718,49.66135129976519,1e-05,1731492083.8118348


Test set:Loss: 1.551658 Acc: 55.706092 
