Epoch,Loss,Accuracy,Epsilon,Delta,time
1,2.3101935981340214,10.31213136448942,14.684272061827048,1e-05,1731444107.612299
2,2.300543803773168,12.291600827385096,18.36871158591579,1e-05,1731444162.7034106
3,2.296325164909451,13.698928853038248,21.23422694355709,1e-05,1731444217.8251705
4,2.2937483550769904,16.56522087532815,23.70533700406262,1e-05,1731444273.6924376
5,2.290969797348267,17.712989864702443,25.91153856145179,1e-05,1731444328.9336815
6,2.288510508902438,17.673561759726237,27.951779186005496,1e-05,1731444384.9010034
7,2.28527211769582,18.804329697871133,29.86788977845864,1e-05,1731444441.0916634
8,2.282392781279808,19.217176782043445,31.778177461921352,1e-05,1731444495.5906894
9,2.279313032402586,20.60278218645813,33.47950169187797,1e-05,1731444549.5912175
10,2.27594676319982,21.579528626755,35.23651235451741,1e-05,1731444602.9914465
11,2.273035486539205,21.475104339975616,36.83454958972456,1e-05,1731444658.5847018
12,2.269486906872189,21.4100019245712,38.40197771851155,1e-05,1731444711.641425
13,2.265928110568161,21.99437833990373,39.92779980104296,1e-05,1731444764.8799412
14,2.262205951034616,22.92608251500064,41.44700088511234,1e-05,1731444821.5494225
15,2.258812733981163,22.985357121461387,42.91740234606288,1e-05,1731444866.0146098
16,2.2544527524108187,22.880341721346845,44.3721782396367,1e-05,1731444908.3994436
17,2.2505064849809053,23.518329125213253,45.79918322339723,1e-05,1731444952.4989452
18,2.245760776154164,23.478204062003183,47.172859450900354,1e-05,1731444995.6590607
19,2.24108921822315,23.59450900879453,48.53811072220249,1e-05,1731445040.053139
20,2.2362150345836675,23.415777665990518,49.85513844103458,1e-05,1731445083.0437648


Test set:Loss: 2.234051 Acc: 24.059628 
