Epoch,Loss,Accuracy,Epsilon,Delta,time
1.0,3.479626339493376,10.068362863980273,10.828953311965275,1e-05,1732249612.5235858
2.0,3.278440122676985,9.927562240313662,15.447469673356128,1e-05,1732249633.2279818
3.0,3.146346031261396,9.281873963194885,18.670720941737034,1e-05,1732249654.4314036
4.0,3.043024918788059,9.300882381402849,21.36983663225631,1e-05,1732249676.898522
5.0,2.9529556051085266,9.58073239785921,23.77244157700561,1e-05,1732249699.4529054
6.0,2.9026140832901,9.403250151622531,27.10406399046341,1e-05,1732249723.1358151
7.0,2.8358782439520867,9.371961248039558,28.040810417342204,1e-05,1732249744.7569754
8.0,2.779787449523656,9.68834278448159,29.99379445140464,1e-05,1732249765.6088133
9.0,2.7386692861465725,9.714267022103872,31.859073089695872,1e-05,1732249785.9303577
10.0,2.690248381225089,9.882832825355054,33.65223768077848,1e-05,1732249806.9081976
11.0,2.659544651694502,9.905652178649726,35.38468051079123,1e-05,1732249827.8562746
12.0,2.621860513181397,9.804316934901507,37.06514509459877,1e-05,1732249849.4630177
13.0,2.600300310847156,9.60076239318997,38.70041946667548,1e-05,1732249872.8846562
14.0,2.565286890464493,9.940185728748997,40.29596987817704,1e-05,1732249893.71486
15.0,2.546863672415015,9.933021433421718,41.85621887786809,1e-05,1732249914.9431822
16.0,2.5223109369588674,9.796280413433449,43.38482954850841,1e-05,1732249935.078799
17.0,2.505706718125319,9.966225341487526,44.88486226816468,1e-05,1732249958.0953648
18.0,2.4776085332186537,9.95796985256639,46.35896702744242,1e-05,1732249980.0347023
19.0,2.458709691573751,9.889648953050957,47.80933514694156,1e-05,1732250000.6589391
20.0,2.435996520398843,10.339859654800112,49.23789958686031,1e-05,1732250022.2244642
,,,,,
,,,,,
	Test set:Loss: 2.430180 Acc: 10.122978 ,,,,,
