Epoch,Loss,Accuracy,Epsilon,Delta,time
1,,10.037597472758044,14.342151125796669,1e-05,1731471681.381806
2,,10.072425498867297,18.29641836148109,1e-05,1731471706.3031218
3,,10.164626848108265,21.345944342918333,1e-05,1731471731.3554056
4,,9.865483152846911,23.75430060739699,1e-05,1731471755.8752933
5,,9.933162929095005,26.0062882468942,1e-05,1731471784.8240244
6,,9.880567775971452,28.10349950412101,1e-05,1731471810.539971
7,,10.12083756572734,30.05124515985552,1e-05,1731471838.187912
8,,10.078644845628729,31.86498502244219,1e-05,1731471865.112436
9,,10.072096347754291,33.64330874132929,1e-05,1731471892.217916
10,,9.987567430256428,35.25706076501012,1e-05,1731471918.3475337
11,,10.243701627755874,36.8523067385654,1e-05,1731471947.347963
12,,9.910207096698471,38.88389647111614,1e-05,1731471977.9353726
13,,9.985901457659985,39.93109647219256,1e-05,1731472004.963577
14,,9.9196930045972,41.42483384493173,1e-05,1731472032.8196473
15,,9.992075523711986,42.83948726127484,1e-05,1731472061.8579369
16,,10.181770755826973,44.26736879507924,1e-05,1731472090.3780036
17,,10.209067316571394,45.63164970090325,1e-05,1731472120.3171024
18,,9.927044417762168,47.00230083137716,1e-05,1731472150.7391453
19,,10.0981945620839,48.34595579737107,1e-05,1731472182.7469532
20,,9.857378557725067,49.64799655593211,1e-05,1731472215.447919
